time,Fx,Fy,Fz,Mx,My,Mz
12.6,249021.0,-1655.85863,387480.0,-87603.87114999999,29175629.0,27468.89219999995
12.8,95571.0,-1580.0342839999998,127500.0,-87739.85573,9369629.0,68918.89219999994
13.0,-43919.0,-1577.896402,-110480.0,-90149.86197,-8614371.0,97148.8922
13.2,-163309.0,-1641.9986800000001,-309420.0,-90459.85829999999,-23752371.0,110636.11519999999
13.4,-258409.0,-1714.8189000000002,-460280.0,-85829.85762000001,-35518371.0,109296.11519999999
13.6,-327546.0,-1762.338093,-550200.0,-89329.85636,-43172371.0,93538.8922
13.8,-369209.0,-1752.758157,-606180.0,-87029.85614999999,-48362371.0,66599.8922
14.0,-385049.0,-1647.2018140000002,-626870.0,-78349.87715000001,-51045871.0,30661.892199999995
14.2,-377789.0,-1435.686575,-624140.0,-70329.86137999999,-51968871.0,-12081.107799999992
14.4,-350979.0,-1082.469068,-607466.0,-63469.85316000001,-51775371.0,-56791.10779999999
14.6,-308477.0,-581.7870949999999,-589590.0,-43379.85968000001,-51357371.0,-100691.1078
14.8,-245792.0,38.54286099999998,-488550.0,-23319.85950999999,-45824771.0,-136591.10780000006
15.0,-164594.8,746.6135270000001,-338660.0,-4735.861730000001,-37307371.0,-159041.10780000006
15.2,-67481.0,1494.29504,-144746.0,16640.134990000002,-26115371.0,-164063.88479999997
15.4,37018.0,2193.3367500000004,67460.7,44000.13032,-13812371.0,-150173.88479999997
15.6,138370.0,2770.911069,277379.0,71610.14639,-1613371.0,-115931.1078
15.8,225939.0,3165.14073,467087.0,92540.13368999997,9427629.0,-63493.88480000002
16.0,291039.0,3358.312833,621368.0,107700.14056999999,18416629.0,2268.892200000008
16.2,328892.0,3364.94254,730694.0,122560.12829,24814629.0,74356.89219999999
16.4,339213.0,3152.407074,790730.0,135820.13316000003,28389629.0,145322.8922
16.6,325532.0,2712.808916,801040.0,145500.14359999998,29146629.0,206898.8922
16.8,293671.0,2032.19837,763980.0,145920.13820000002,27268629.0,252056.1152
17.0,249781.0,1105.162106,685640.0,142340.14297999998,23181629.0,275928.8922
17.2,198957.0,-21.961,573040.0,135100.14271,17403629.0,275276.1152
17.4,144501.0,-1271.44552,433840.0,123870.13124999999,10484629.0,249236.11519999997
17.6,88071.0,-2561.5898399999996,276170.0,107073.14550999999,3026629.0,199746.11519999997
17.8,30661.0,-3780.6879099999996,110530.0,82923.17225,-4238371.0,132366.11519999997
18.0,-25709.0,-4809.925759999999,-57110.0,53707.16126,-10859571.0,55233.33820000001
18.2,-77929.0,-5550.18754,-224260.0,23100.16707999999,-16627271.0,-22466.66179999999
18.4,-122149.0,-5908.16385,-388837.4,-6259.812050000006,-21417671.0,-91206.66179999999
18.6,-154869.0,-5850.6416,-549950.0,-33839.81941999999,-25243771.0,-143247.6618
18.8,-174209.0,-5367.041689999999,-706950.0,-60169.81919,-28212371.0,-174292.6618
19.0,-180599.0,-4459.98457,-856420.0,-84379.80958,-30331371.0,-182818.6618
19.2,-176719.0,-3168.81635,-990540.0,-105099.80379,-31409371.0,-171024.6618
19.4,-166573.0,-1539.88048,-1101950.0,-121067.82316,-31299371.0,-140996.6618
19.6,-154252.0,323.38957999999997,-1183400.0,-131969.8233,-29863671.0,-95886.66179999999
19.8,-142658.0,2294.09363,-1227660.0,-136904.83677,-26958271.0,-38456.66179999999
20.0,-132789.0,4232.901599999999,-1230810.0,-135512.83003,-22577871.0,27583.33820000001
20.2,-123589.0,6009.62076,-1190750.0,-129267.82335,-16801771.0,96656.11520000001
20.4,-112339.0,7467.514400000001,-1109100.0,-119027.8354,-9891471.0,163585.1152
20.6,-95299.0,8464.88167,-989270.0,-104735.32309,-2177371.0,222840.1152
20.8,-68519.0,8908.188840000003,-834020.0,-86209.93086,6083829.0,267920.3382
21.0,-28859.0,8766.840970000001,-646815.0,-64062.43066,14644129.0,292331.11520000006
21.2,25231.0,8043.571790000001,-432059.0,-39696.84994000001,23248849.0,292596.11520000006
21.4,93421.0,6739.694059999999,-195150.0,-14866.0674,31644929.0,267836.1152
21.6,173398.0,4900.64406,57580.0,9273.13924,39586329.0,219345.11519999997
21.8,261432.0,2641.41319,318801.0,31579.148720000005,46832629.0,150045.1152
22.0,352891.0,106.00917000000001,580230.0,50931.15872,53146629.0,65175.1152
22.2,442861.0,-2532.59883,832720.0,66310.14881999999,58288629.0,-29024.884800000007
22.4,526611.0,-5092.2338,1066600.0,76930.15864000001,62024629.0,-125263.88479999999
22.6,599701.0,-7402.859260000001,1271990.0,82090.14357999999,64127629.0,-214800.88480000003
22.8,657951.0,-9307.56838,1439180.0,81420.1407,64390629.0,-291189.8848
23.0,697351.0,-10674.696670000001,1559380.0,74940.13506,62641429.0,-347684.8848
23.2,714231.0,-11439.058078,1625360.0,62940.14356999999,58763529.0,-379903.1078
23.4,705421.0,-11531.748669999999,1631840.0,46220.14163,52717229.0,-384785.8848
23.6,668761.0,-10948.48869,1576340.0,25930.141720000014,44563529.0,-362329.8848
23.8,603421.0,-9701.502729999998,1458660.0,3790.1551000000113,34464629.0,-314093.8848
24.0,510272.0,-7851.417310000001,1281860.0,-17879.829749999997,22678629.0,-244369.0848
24.2,391634.0,-5512.17844,1053491.0,-37619.825999999994,9683629.0,-158738.8848
24.4,251381.0,-2841.16785,785460.0,-54596.82797,-3844371.0,-64162.8848
24.6,95001.0,-31.212699999999995,489710.0,-66711.83176,-17331371.0,31940.115199999993
24.8,-70719.0,2724.4883400000003,179720.0,-70808.82531,-30159871.0,122066.11519999999
25.0,-237749.0,5230.03478,-133510.0,-64860.83389999998,-41931671.0,199463.3382
25.2,-398087.0,7330.25593,-425740.0,-60389.83572,-51484371.0,258243.3382
25.4,-541989.0,8901.94586,-711970.0,-49069.84356,-60064371.0,295666.11520000006
25.6,-661769.0,9863.940489999999,-979590.0,-26519.83903000001,-67209371.0,310706.11520000006
25.8,-751069.0,10190.55888,-1223945.0,2980.1596999999856,-72954371.0,303796.11520000006
26.0,-805539.0,9876.62187,-1442850.0,31610.16634999998,-77441371.0,277146.11520000006
26.2,-823159.0,8954.782959999999,-1633980.0,54710.17597999998,-80787071.0,234486.11519999997
26.4,-803929.0,7495.954070000001,-1796160.0,76550.16569999998,-83158671.0,180086.11519999997
26.6,-748352.0,5615.60499,-1908190.0,112000.16265,-83508371.0,117028.11520000001
26.8,-652913.0,3451.79162,-1905730.0,131770.16053999998,-78065371.0,51175.1152
27.0,-519629.0,1182.1145999999999,-1811560.0,145260.16725,-68299371.0,-13833.88479999999
27.2,-352069.0,-1012.1335799999999,-1626430.0,154600.17114000002,-54297371.0,-74313.88480000001
27.4,-160009.0,-2972.85004,-1373290.0,159526.15610999998,-37441371.0,-126623.88480000001
27.6,44121.0,-4582.61508,-1070479.0,150873.14302,-18777371.0,-166263.88479999997
27.8,245611.0,-5753.86927,-739710.0,119052.94366,477629.0,-189593.88479999997
28.0,429732.0,-6434.70487,-401760.0,85500.16216999998,19216629.0,-196523.88479999997
28.2,584271.0,-6615.3363500000005,-72590.0,45570.16706999999,36641029.0,-186313.88479999997
