time_s,surge_m,sway_m,heave_m,yaw_deg,hull_pitch_deg,bridge_relative_pitch_deg,spud_relative_pitch_deg,spud_relative_yaw_deg,spud_upper_guide_relative_x_m,spud_soil_x_displacement_m,spud_soil_y_displacement_m,spud_soil_pitch_rotation_deg,spud_soil_yaw_rotation_deg,spud_lateral_m,equivalent_displacement_m,equivalent_velocity_m_s,equivalent_net_force_N,equivalent_total_restoring_force_N,equivalent_wire_rope_force_demand_N,equivalent_end_stop_diagnostics_available,equivalent_end_stop_enabled,equivalent_end_stop_travel_m,equivalent_end_stop_engagement_ramp_m,equivalent_end_stop_engagement_factor,equivalent_end_stop_engagement_gradient_per_m,equivalent_end_stop_active,equivalent_end_stop_penetration_m,equivalent_end_stop_force_N,equivalent_end_stop_closing_rate_m_s,equivalent_end_stop_elastic_energy_J,equivalent_end_stop_damping_dissipation_W,equivalent_end_stop_force_limit_N,equivalent_end_stop_capacity_status,equivalent_tension_1_N,equivalent_tension_2_N,equivalent_common_tension_N,equivalent_minimum_tension_control_required_N,equivalent_minimum_tension_control_active,equivalent_travel_demand_m,equivalent_travel_warning_m,equivalent_travel_limit_m,equivalent_travel_capacity_status,equivalent_force_demand_N,equivalent_force_warning_N,equivalent_force_limit_N,equivalent_force_capacity_status,soil_force_x_N,soil_force_y_N,soil_pitch_moment_Nm,soil_yaw_moment_Nm
194.5,0.424917649741949,1.766844738664721,-0.42926449728801286,-2.305014628989436,-1.3973195102637075,-1.8045631091745724,1.4315004400838842,0.1175275499337834,-0.1453107204565179,-0.003985680218441701,0.03410738617665432,0.03418386828935416,-2.187523737814078,0.029352799597146276,-0.051667585809896,0.032811085929804196,53330.32334208559,53330.32334208559,53330.32334208559,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,176665.1616710428,123334.83832895721,150000.0,0.0,0.0,0.051667585809896,0.25,0.3,within,53330.32334208559,500000.0,550000.0,within,110594.95443679305,2167164.3101019897,206714.2180556785,7571782.708529379
194.60000000000002,0.42307972561755114,1.7675139146658365,-0.4336979352581521,-2.3058174891067544,-1.3822249953162893,-1.8265960743514063,1.4220670201996009,0.11785859037865741,-0.1410101699495358,-0.004089539757131888,0.03410928830001758,0.03984494802597444,-2.1879951700540783,0.02936223979110821,-0.04802561224972929,0.04002838527352967,47079.45837392043,47079.45837392043,47079.45837392043,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,173539.7291869602,126460.27081303978,150000.0,0.0,0.0,0.04802561224972929,0.25,0.3,within,47079.45837392043,500000.0,550000.0,within,105638.98372983941,2167859.313396818,188587.19361071958,7573927.407045005
194.70000000000002,0.42103322871067744,1.7682324662412778,-0.43807571969240217,-2.306679845526037,-1.3660446375573942,-1.8469264467588713,1.412376931567892,0.11821183046057819,-0.1360452663071966,-0.004213755552797238,0.03411158015007043,0.04633520029678852,-2.188503890567393,0.029375801538445646,-0.04373720441312365,0.045739771458582594,40276.4827925904,40276.4827925904,40276.4827925904,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,170138.2413962952,129861.7586037048,150000.0,0.0,0.0,0.04373720441312365,0.25,0.3,within,40276.4827925904,500000.0,550000.0,within,100172.3444298702,2168599.277134716,168289.3840428332,7576219.216513359
194.8,0.41886773145344186,1.7690326011431274,-0.4423689662055263,-2.307645001447987,-1.3490294486230956,-1.8625154499601058,1.4025680750438623,0.11855758958088394,-0.1305511725333528,-0.004353310156147927,0.03411538571149464,0.053541513340189244,-2.1891228807698218,0.029391845867484393,-0.038927898008080025,0.05044635664228937,32986.88130119147,32986.88130119147,32986.88130119147,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,166493.44065059573,133506.55934940427,150000.0,0.0,0.0,0.038927898008080025,0.25,0.3,within,32986.88130119147,500000.0,550000.0,within,94170.95507307282,2169457.086127694,145905.99251929653,7578912.062009785
194.9,0.4166348921098622,1.7698905209118785,-0.44655069190224767,-2.308682990510571,-1.3314165689974011,-1.872510260929848,1.3927781536851087,0.11891668509978977,-0.12462385716504842,-0.004504102664590448,0.03411898801271063,0.06136445122084237,-2.1898013698582894,0.029408157232055598,-0.033684048084661924,0.05443064182607259,25268.142365522923,25268.142365522923,25268.142365522923,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,162634.07118276146,137365.92881723854,150000.0,0.0,0.0,0.033684048084661924,0.25,0.3,within,25268.142365522923,500000.0,550000.0,within,87626.6124026003,2170421.1593484776,121541.09559295262,7581917.321884293
195.0,0.4143563610354585,1.770735171777745,-0.45059146144019374,-2.3097019532756007,-1.3134141593136948,-1.878038973123928,1.3831281204502501,0.1192695946856926,-0.1183342287910552,-0.004667540089286604,0.034122847604927564,0.06971680573844695,-2.19046702064449,0.029424852031928118,-0.028068119122169333,0.05788793742377893,17163.657015491437,17163.657015491437,17163.657015491437,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,158581.82850774573,141418.17149225427,150000.0,0.0,0.0,0.028068119122169333,0.25,0.3,within,17163.657015491437,500000.0,550000.0,within,80741.47345691366,2171353.3735032687,95757.01236892742,7584835.078352431
195.10000000000002,0.4120692794708135,1.7715641664088766,-0.4544598087088037,-2.3106996713120678,-1.2952110275438613,-1.8789610815903683,1.373715180842751,0.11961606170258388,-0.11176354158769516,-0.004842092524249608,0.03412715142727363,0.07850697481604417,-2.1911178758966834,0.029441507309735434,-0.022154579072578284,0.060382863568041824,8858.798921178679,8858.798921178679,8858.798921178679,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,154429.39946058934,145570.60053941066,150000.0,0.0,0.0,0.022154579072578284,0.25,0.3,within,8858.798921178679,500000.0,550000.0,within,73602.03403301616,2172242.691223543,68861.23868809582,7587638.085458475
195.20000000000002,0.4098393111337616,1.7724543553703287,-0.4581225103296926,-2.311777371491759,-1.2769778675887526,-1.8728244569543449,1.3646247599820962,0.11996491596069309,-0.10500912970623924,-0.0050245212173507525,0.03413267420062471,0.08764969045849039,-2.1918463392161827,0.029457300258942234,-0.01603479828876396,0.06201275210824466,454.7105785032054,454.7105785032054,454.7105785032054,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,150227.3552892516,149772.6447107484,150000.0,0.0,0.0,0.01603479828876396,0.25,0.3,within,454.7105785032054,500000.0,550000.0,within,66212.88457347138,2173208.5221983045,40969.17791994754,7590708.883010518
195.3,0.40769468381778773,1.7733907660513366,-0.46154298574433034,-2.3129160931994077,-1.2588452220285768,-1.859757240187013,1.3559254905275226,0.12027755039389433,-0.0981321839330434,-0.005215469459223243,0.03414278142956295,0.09708304124517014,-2.192672049358057,0.02947436630397772,-0.009765176093570055,0.06337969179563335,-8094.578656630489,-8094.578656630489,8094.578656630489,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,145952.71067168476,154047.28932831524,150000.0,0.0,0.0,0.009765176093570055,0.25,0.3,within,8094.578656630489,500000.0,550000.0,within,58702.664101138216,2174142.321230444,12446.56067298929,7593827.444951016
195.4,0.4056280957660579,1.7742928541867402,-0.4646826921701686,-2.314011025931404,-1.2409066354656422,-1.8423442978454967,1.347652981437855,0.12058926109240749,-0.09116382845157403,-0.0054137399836662325,0.034155777614806926,0.1067490934083766,-2.1934549113064703,0.029492277653096952,-0.0033743506961641107,0.06443681615248562,-16741.893052576786,-16741.893052576786,16741.893052576786,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,141629.0534737116,158370.9465262884,150000.0,0.0,0.0,0.0033743506961641107,0.25,0.3,within,16741.893052576786,500000.0,550000.0,within,51116.46724656198,2174884.844479747,-16533.75894776039,7596462.8349918835
195.5,0.40361763788861665,1.7751339501501542,-0.4675066781061104,-2.315027698982261,-1.2232428017535955,-1.8239179760017121,1.339822298943253,0.12088640394058321,-0.08411831696171562,-0.005615122267514039,0.034166145273090365,0.11658221889633041,-2.1941740953194118,0.029506649311983713,0.00312447602485795,0.06553971826795568,-25540.924747419922,-25540.924747419922,25540.924747419922,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,137229.53762629005,162770.46237370995,150000.0,0.0,0.0,0.00312447602485795,0.25,0.3,within,25540.924747419922,500000.0,550000.0,within,43385.956085083104,2175632.719076854,-46044.668499341235,7599031.795900136
195.60000000000002,0.4016277101905411,1.775899885079044,-0.46998598427305793,-2.315947975931994,-1.2059346216226898,-1.8084536794987176,1.3324445453900486,0.12115498760047028,-0.07700166442374912,-0.00581901561385223,0.03417402989214757,0.12651261891450374,-2.1948254531760436,0.029519161260053703,0.009726064199207948,0.06649204521904428,-34445.48652777964,-34445.48652777964,34445.48652777964,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,132777.25673611017,167222.74326388983,150000.0,0.0,0.0,0.009726064199207948,0.25,0.3,within,34445.48652777964,500000.0,550000.0,within,35600.68057360343,2176373.0420684437,-75798.66824187269,7601500.184220922
195.70000000000002,0.3996518574648237,1.7765604255985186,-0.4720955084454823,-2.3167327671471822,-1.1890706409015346,-1.7977157156940218,1.3255306640168136,0.12141491652501094,-0.06985737613943777,-0.006026700104108329,0.03418181600816572,0.13646269200204722,-2.1953499969353474,0.029533034268485362,0.016387672507298265,0.06674012094276222,-43288.42463920244,-43288.42463920244,43288.42463920244,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,128355.78768039877,171644.2123196012,150000.0,0.0,0.0,0.016387672507298265,0.25,0.3,within,43288.42463920244,500000.0,550000.0,within,27941.702628830855,2176909.124149478,-105292.7413804268,7603352.758784674
