time,Fx,Fy,Fz,Mx,My,Mz
170.8,851853.0,55.23084,1032560.0,133684.2017,107952629.0,-194079.439
171.0,976011.0,-3344.7700399999994,1392310.0,157369.2046,118356629.0,-351169.43899999995
171.2,1076071.0,-6606.97735,1700888.0,169130.19569999998,125001629.0,-487929.439
171.4,1144521.0,-9589.00014,1942240.0,168410.20886,127438629.0,-593547.6618
171.6,1174191.0,-12169.91849,2102990.0,155630.2034,125374629.0,-660516.6618
171.8,1159111.0,-14237.588740000001,2173420.0,132250.20421999996,118703629.0,-685366.6618
172.0,1095301.0,-15682.586290000001,2148560.0,100420.19220000005,107552629.0,-669059.439
172.2,981511.0,-16408.43984,2028330.0,62530.20782999997,92280629.0,-616052.6618
172.4,819721.0,-16337.109390000001,1818080.0,21090.202500000014,73466629.0,-532859.439
172.6,615281.0,-15442.254560000001,1528650.0,-21509.780499999993,51935039.0,-426549.439
172.8,376391.0,-13759.706419999999,1179667.0,-65379.77760000003,28957629.0,-304489.439
173.0,114393.0,-11389.2811,791370.0,-108419.78529999999,5712629.0,-174429.439
173.2,-157022.0,-8450.360439999999,385820.0,-146749.794,-16598371.0,-42619.43900000001
173.4,-422599.0,-5091.755160000001,-17600.0,-177519.7784,-37012371.0,85630.56099999999
173.6,-667559.0,-1507.7301699999998,-389660.0,-212571.7618,-54034371.0,206150.561
173.8,-876269.0,2131.50409,-741400.0,-236995.776,-68661371.0,316980.56100000005
174.0,-1037389.0,5648.2709700000005,-1053280.0,-244949.7656,-80081271.0,415080.561
174.2,-1142729.0,8895.36585,-1322350.0,-246379.77509999997,-88516471.0,496715.561
174.4,-1188299.0,11737.313309999998,-1540750.0,-236719.7767,-93912171.0,558700.561
174.6,-1174029.0,14034.00014,-1707600.0,-222379.78599999996,-96645371.0,597910.561
174.8,-1104479.0,15655.02625,-1846790.0,-199749.7997000001,-98579371.0,610384.561
175.0,-979609.0,16516.01929,-1863440.0,-144539.80310000002,-94380371.0,592550.561
175.2,-803499.0,16525.22677,-1767400.0,-92549.78159999999,-84868371.0,544410.561
175.4,-583589.0,15695.287910000001,-1569930.0,-33209.78860000009,-70866371.0,466000.561
175.6,-331839.0,14082.129369999999,-1287920.0,34540.21650000004,-53407171.0,360800.561
175.8,-65289.0,11760.3434,-952390.0,104780.1998,-34268071.0,235540.561
176.0,198073.0,8842.09115,-588244.7,172090.19400000002,-14740371.0,98910.56099999999
176.2,440571.0,5458.11221,-221300.0,222015.20770000003,3891629.0,-39966.6618
176.4,647251.0,1769.31211,126870.0,263940.20473,20628629.0,-173346.6618
176.6,807521.0,-2042.25768,439638.0,295214.1974,34789629.0,-292936.6618
176.8,915911.0,-5784.55119,705630.0,315083.1825,45968629.0,-391923.6618
177.0,971791.0,-9273.822660000002,917860.0,322870.19395,53991629.0,-465656.6618
177.2,978431.0,-12360.79974,1072950.0,315010.19426,58857629.0,-511979.6618
177.4,941711.0,-14888.10343,1170480.0,289010.18659,60707629.0,-531132.6618
177.6,868661.0,-16720.53827,1213300.0,251730.20271000004,59864629.0,-525026.6618
177.8,766651.0,-17756.614380000003,1205860.0,205500.18978999997,56725629.0,-496876.6618
178.0,642626.0,-17926.97605,1153050.0,151750.19530999998,51710629.0,-451186.6618
178.2,503200.0,-17232.27234,1059680.0,91460.18302,45231629.0,-390996.6618
178.4,354551.0,-15694.342830000001,931460.0,26470.18465999997,37739629.0,-319686.6618
178.6,203001.0,-13388.515650000001,774220.0,-40059.80608000001,29686629.0,-238846.6618
178.8,55011.0,-10400.144839999999,591050.0,-103999.80871999997,21335629.0,-149386.6618
179.0,-83189.0,-6888.159540000001,384707.0,-162009.79319999996,12912229.0,-50966.6618
179.2,-206249.0,-3014.9412399999997,158180.0,-211379.7914,4593929.0,55397.561
179.4,-310389.0,1060.10329,-84290.0,-249969.80649999995,-3444571.0,166607.561
179.6,-393967.0,5154.17052,-336800.0,-276799.79342,-11015571.0,277786.3382
179.8,-457509.0,9082.060179999999,-591720.0,-291189.79610000004,-17918371.0,383185.56100000005
180.0,-503059.0,12653.45813,-839580.0,-292939.7893,-23935371.0,476780.56100000005
180.2,-533149.0,15697.68151,-1069564.0,-282567.8005,-28829371.0,553440.561
180.4,-549439.0,18076.15463,-1270296.0,-261099.77769999998,-32348371.0,608230.561
180.6,-551917.0,19642.567349999998,-1430120.0,-230212.7801,-34246371.0,636310.561
180.8,-538512.0,20301.549170000002,-1538010.0,-191949.7829,-34286371.0,637050.561
181.0,-505640.0,19980.47309,-1584920.0,-148559.80569999997,-32295371.0,611040.561
181.2,-449239.0,18681.441110000003,-1563810.0,-102499.79920000001,-28158371.0,559160.561
181.4,-366069.0,16479.05502,-1470050.0,-56319.77910000004,-21848371.0,482984.561
181.6,-255079.0,13470.5497,-1304690.0,-11719.794500000076,-13560371.0,384743.561
181.8,-118179.0,9756.400539999999,-1073260.0,30420.206609999994,-3699371.0,268466.3382
182.0,39451.0,5497.37259,-784410.0,69270.20314999996,7261629.0,137697.3382
182.2,209661.0,889.06602,-450540.0,103710.19449999998,18725629.0,-3873.4389999999985
182.4,382184.0,-3853.37936,-87414.0,132090.20760000008,30001629.0,-152483.439
182.6,545565.0,-8497.324380000002,286581.0,153090.20632999996,40330329.0,-304386.6618
182.8,688821.0,-12815.96185,651900.0,165820.20400000003,48971929.0,-454919.439
183.0,802511.0,-16609.96631,989170.0,169970.2087999999,55260629.0,-597959.439
183.2,879601.0,-19683.34405,1280480.0,165840.20140000002,58675629.0,-725999.439
183.4,916031.0,-21890.45123,1510750.0,153980.1986,58883629.0,-829739.439
183.6,910421.0,-23094.16449,1668280.0,135233.1929,55759629.0,-900429.439
183.8,863821.0,-23247.318539999997,1745460.0,110632.20356,49389429.0,-929196.6618
184.0,778991.0,-22321.72609,1738940.0,81640.19543999998,40051329.0,-910346.6618
184.2,660031.0,-20342.946379999998,1650700.0,49680.1924,28242629.0,-840699.439
184.4,511901.0,-17402.93702,1488630.0,15440.208419999923,14723629.0,-720996.6618
184.6,340938.0,-13609.61464,1262600.0,-18619.800000000047,215629.0,-555859.439
184.8,154532.0,-9142.352119999998,983968.0,-49679.79387000005,-14586371.0,-353756.6618
185.0,-39013.0,-4207.56525,665470.0,-74959.80076000001,-29035371.0,-126814.6618
185.2,-230770.9,955.2141100000001,321330.0,-92919.79590000003,-42495371.0,111670.361
185.4,-411792.0,6097.592590000001,-33790.0,-103499.80740000005,-54395371.0,346904.561
185.6,-573541.0,10964.8304,-385660.0,-107739.80620999995,-64260371.0,563713.3382
185.8,-708599.0,15313.34021,-717900.0,-105779.82476999995,-71517571.0,748643.3382
186.0,-810929.0,18920.033360000005,-1016445.0,-97679.82868000004,-75769911.0,890406.1152
186.2,-876059.0,21598.76267,-1267760.0,-84089.82640000002,-76676271.0,981596.1152
186.4,-901366.0,23207.41918,-1461240.0,-65319.821999999986,-74038371.0,1018743.3382
186.6,-886043.0,23676.293080000003,-1590660.0,-42209.821730000025,-67906971.0,1002653.3382
186.8,-831224.0,23006.449389999998,-1653400.0,-17054.829329999993,-58563371.0,937993.3382
187.0,-740160.0,21255.23131,-1653130.0,8467.167419999998,-46635371.0,831463.3382
187.2,-617924.0,18539.64292,-1596370.0,33380.16991,-32910371.0,691213.3382
187.4,-471126.0,15019.302630000002,-1489620.0,56860.170859999955,-18133071.0,525953.3382
187.6,-307660.0,10889.4035,-1339650.0,77570.18017,-3052371.0,344393.3382
187.8,-136173.0,6356.382089999999,-1153768.6,93890.18157999997,11622629.0,154884.3382
188.0,34846.0,1644.22874,-939130.0,104050.19602999999,25267629.0,-34460.6618
188.2,197765.0,-3012.81637,-703430.0,107180.19579999999,37376629.0,-214725.439
188.4,346607.0,-7407.314149999999,-453890.0,102790.19897999999,47572129.0,-378298.8618
188.6,477181.0,-11324.489720000001,-198290.0,91030.20410999993,55607229.0,-517402.6618
188.8,587091.0,-14585.318689999998,55630.0,72480.18417000002,61356029.0,-625994.6618
189.0,675162.1,-17060.80298,299930.0,48050.18513,64795629.0,-700253.6618
189.2,740879.0,-18659.07883,526670.0,19230.204529999988,65981179.0,-738736.6618
189.4,784013.0,-19342.51978,728340.0,-12229.792339999985,65028829.0,-741986.6618
189.6,804131.0,-19118.395220000002,897830.0,-44349.77819999994,62096629.0,-712749.439
189.8,800711.0,-18049.83675,1029150.0,-75119.7732,57378229.0,-655619.439
190.0,773211.0,-16237.78727,1117076.3,-102549.7715,51089629.0,-575889.439
190.2,721301.0,-13816.4378,1158550.0,-125250.7697,43492229.0,-479395.439
190.4,645141.0,-10927.1811,1152390.0,-142259.7626,34883629.0,-371400.216
190.6,545921.0,-7715.17336,1098880.0,-152869.75519999996,25543629.0,-256332.21600000001
190.8,425831.0,-4314.36885,1000040.0,-156559.77010000002,15755029.0,-137742.21599999996
191.0,288351.0,-877.55986,859890.0,-153099.7734,5807429.0,-18522.215999999957
191.2,138203.0,2442.5837300000003,684440.0,-142589.7585,-3996371.0,98317.78399999999
191.4,-18770.0,5518.3211900000015,481640.0,-125549.76040000003,-13349571.0,210027.78399999999
191.6,-175734.0,8212.41901,261070.0,-102879.76300000004,-21940131.0,312767.784
191.8,-325209.0,10428.33016,33730.0,-75849.76300000004,-29456171.0,402310.56100000005
192.0,-459379.0,12110.07372,-188710.0,-46009.77469999995,-35607871.0,474641.56100000005
192.2,-570519.0,13245.367240000001,-394470.0,-15119.786399999983,-40130371.0,526070.561
192.4,-651669.0,13841.99457,-572650.0,14870.219100000046,-42823371.0,553850.561
192.6,-697259.0,13927.13558,-714290.0,41960.2059,-43570371.0,556603.561
192.8,-703899.0,13515.76999,-813250.0,64390.1979,-42384371.0,534322.561
193.0,-670849.0,12633.5648,-867250.0,81231.20568000001,-39437371.0,488763.3382
193.2,-600289.0,11308.88988,-876330.0,91966.19159999999,-34965371.0,423240.561
