time,Fx_local,Fy_local,Fz_local
507.130000,525798.726834,912695.145753,553873.277027
507.140000,529337.551158,814252.198842,580056.555985
507.150000,454838.530888,804101.522201,667282.022201
507.160000,565516.190154,873466.039575,791077.181467
507.170000,381032.142857,567100.511583,372262.126448
507.180000,425117.501931,738783.370656,530146.210425
507.190000,463754.501931,495003.680502,693625.989382
507.200000,492332.449807,722454.101351,648084.613900
507.210000,548977.734556,776396.846525,634759.922780
507.220000,435451.274131,611567.409266,476822.122587
507.230000,321894.272201,531401.481660,398147.510618
507.240000,468634.696911,439111.190154,553967.050193
507.250000,387203.061776,497989.995174,422707.792471
507.260000,485989.945946,751930.798263,619253.892857
507.270000,488023.488417,689652.063707,631340.501931
507.280000,385516.219112,652076.496139,446666.606178
507.290000,487835.174710,474334.294402,570060.735521
507.300000,479420.913127,508860.929537,566059.951737
507.310000,471567.448842,682782.373552,566299.372587
507.320000,403417.685328,516957.191120,540791.843629
507.330000,424238.704633,617566.589768,443431.662162
507.340000,422489.858108,370144.479730,493960.665058
507.350000,484656.862934,484680.958494,523014.231660
507.360000,394369.572394,694782.883205,501343.268340
507.370000,554979.370656,820073.194981,651588.445946
507.380000,472990.161197,783497.209459,598885.777992
507.390000,409549.314672,659735.047297,515377.013514
507.400000,504414.915058,600009.214286,631098.165058
507.410000,410089.085907,502242.324324,556148.849421
507.420000,508946.261583,841819.054054,615758.348456
507.430000,398862.550193,655475.965251,584889.327220
507.440000,440615.704633,686518.720077,555901.294402
507.450000,526784.035714,793029.535714,544730.930502
507.460000,466565.548263,696625.656371,592139.942085
507.470000,441196.914093,802391.658301,645929.212355
507.480000,423178.346525,735430.557915,654544.986486
507.490000,501067.627413,892536.524131,662337.981660
507.500000,361752.011583,579567.431467,410832.057915
507.510000,394047.888996,660591.437259,507107.632239
507.520000,529341.694981,782413.830116,672748.798263
507.530000,330426.249035,514385.872587,361279.308880
507.540000,364170.162162,397873.864865,453524.632239
507.550000,471089.221042,606468.972973,533090.472973
507.560000,353559.214286,483927.703668,430093.465251
507.570000,413485.792471,611253.860039,482330.950772
507.580000,399629.464286,568891.256757,483992.316602
507.590000,396375.028958,431583.092664,473512.896718
507.600000,431932.708494,556214.690154,522696.845560
507.610000,346069.638996,447472.195946,443636.551158
507.620000,480731.281853,635061.194015,523017.608108
507.630000,439673.061776,373552.236486,475606.140927
507.640000,397297.720077,436508.102317,385369.497104
507.650000,493869.040541,591254.852317,577682.606178
507.660000,305678.420849,488172.666023,271696.314672
507.670000,421083.414093,564893.235521,525306.532819
507.680000,404027.441120,420250.812741,423400.578185
507.690000,321199.184363,357174.008687,364561.830116
507.700000,428172.726834,519142.366795,548033.403475
507.710000,445148.585907,706636.670849,603266.105212
507.720000,384586.928571,604487.918919,431543.342664
507.730000,385630.864865,437473.612934,349518.833977
507.740000,545370.000000,613390.691120,568858.259653
507.750000,365210.261583,495066.605212,447825.034749
507.760000,463913.348456,680711.383205,618765.075290
507.770000,387806.678571,671639.788610,521025.503861
507.780000,345206.342664,492024.886100,305912.009653
507.790000,412191.385135,715168.033784,438459.382239
507.800000,516974.840734,655114.838803,669209.206564
507.810000,431238.848456,799132.004826,581998.780888
507.820000,433570.285714,838837.036680,729990.639961
507.830000,442767.115830,597509.875483,385247.331081
507.840000,395662.444981,784070.131274,443070.075290
507.850000,483040.004826,512210.212355,662235.613900
507.860000,463110.521236,644203.233591,606862.022201
507.870000,538288.054054,791609.278958,733381.054054
507.880000,457179.023166,744996.802124,521135.084942
507.890000,386632.902510,674665.546332,424933.332046
507.900000,465146.826255,452442.941120,572105.328185
507.910000,473836.421815,566928.005792,540444.529923
507.920000,433758.292471,590869.016409,511755.926641
507.930000,540756.851351,789367.164093,654642.443050
507.940000,380693.423745,660562.737452,517660.106178
507.950000,493711.728764,506816.490347,544106.134170
507.960000,342175.520270,332888.907336,423000.469112
507.970000,377582.027027,603116.160232,422673.414093
507.980000,507297.173745,762649.945946,622400.742278
507.990000,331887.637066,589752.639961,464686.708494
508.000000,438187.271236,273965.901544,525235.473938
508.010000,451738.184363,493086.472008,515668.308880
508.020000,438070.169884,555029.863900,563363.551158
508.030000,469412.661197,747346.042471,549103.583977
508.040000,521592.133205,872313.289575,699860.600386
508.050000,440816.910232,458121.512548,482696.374517
508.060000,423379.552124,560541.761583,505607.875483
508.070000,434171.600386,681721.248069,551652.341699
508.080000,441763.850386,685177.656371,596006.742278
508.090000,473806.954633,780639.046332,701682.500965
508.100000,382307.519305,532331.079151,378273.124517
508.110000,493893.903475,691965.390927,546238.207529
508.120000,533417.527992,779745.822394,698546.548263
508.130000,521453.698842,934667.533784,702473.817568
508.140000,468916.476834,947384.003861,674427.046332
508.150000,550394.461390,699749.944981,653128.413127
508.160000,397929.729730,543134.484556,478866.254826
508.170000,402117.292471,548696.415058,568238.988417
508.180000,466112.336873,742358.108108,692966.661197
508.190000,388241.626448,737083.943050,427268.913127
508.200000,465722.971042,449978.441120,619749.156371
508.210000,390768.130309,501965.455598,438678.237452
508.220000,443306.580116,613460.982625,516479.884170
508.230000,367878.269305,565004.658301,448443.692085
508.240000,415421.417954,640777.520270,500881.615830
508.250000,510516.770270,468137.438224,593802.842664
508.260000,270301.534749,407144.516409,313558.896718
508.270000,406128.819498,542608.986486,499408.256757
508.280000,364120.282819,479766.692085,429548.475869
508.290000,465733.253861,642926.015444,550317.263514
508.300000,393759.202703,443198.533784,385756.100386
508.310000,409798.404440,449659.366795,472247.342664
508.320000,491703.816602,625159.914093,573927.535714
508.330000,383088.553089,426608.971042,487499.371622
508.340000,445296.535714,668060.907336,545871.402510
508.350000,433321.349421,381743.959459,522985.838803
508.360000,334456.039575,441338.111004,370248.075290
508.370000,471006.805019,610323.648649,595442.108108
508.380000,408709.653475,549764.753861,572967.550193
508.390000,406230.112934,484758.002896,567195.666023
508.400000,422085.144788,422131.647683,465840.379344
508.410000,399500.545367,600320.921815,409575.405405
508.420000,392471.394788,568709.388996,533105.206564
508.430000,516548.333977,786359.823359,707879.971042
508.440000,370942.242278,652828.216216,463764.938224
508.450000,390000.602317,680627.278958,320060.707529
508.460000,552162.031853,863928.955598,556090.682432
508.470000,471300.709459,735260.507722,549704.131274
508.480000,413656.149614,809798.203668,625890.608108
508.490000,510178.818533,819113.055985,740119.216216
508.500000,420670.106178,586699.717181,411260.559846
508.510000,416261.539575,770322.309846,532525.992278
508.520000,523524.535714,535740.370656,717916.155405
508.530000,386142.703668,639349.589768,543720.605212
508.540000,601487.944981,862002.999035,820560.631274
508.550000,485558.067568,767848.294402,551425.045367
508.560000,350419.424710,649420.612934,407393.452703
508.570000,434640.926641,375082.381274,518888.979730
508.580000,414566.869691,546775.216216,481758.182432
508.590000,458334.842664,620160.162162,577212.359073
508.600000,511329.880309,731633.281853,640760.944981
508.610000,376190.316602,641552.415058,440728.201737
508.620000,497106.286680,450481.224903,569894.982625
508.630000,444485.420849,539148.280888,568270.911197
508.640000,485907.529923,668713.175676,566316.254826
508.650000,441893.843629,791815.702703,595673.548263
508.660000,341822.681467,548750.284749,390723.315637
508.670000,380789.652510,264334.890927,480812.930502
508.680000,513501.703668,596873.261583,494645.009653
508.690000,385468.795367,586871.148649,532738.555019
508.700000,538284.831081,800573.441120,630269.707529
508.710000,486489.660232,672248.777027,649988.316602
