time,Fx_local,Fy_local,Fz_local
571.880000,457179.023166,744996.802124,521135.084942
571.890000,386632.902510,674665.546332,424933.332046
571.900000,465146.826255,452442.941120,572105.328185
571.910000,473836.421815,566928.005792,540444.529923
571.920000,433758.292471,590869.016409,511755.926641
571.930000,540756.851351,789367.164093,654642.443050
571.940000,380693.423745,660562.737452,517660.106178
571.950000,493711.728764,506816.490347,544106.134170
571.960000,342175.520270,332888.907336,423000.469112
571.970000,377582.027027,603116.160232,422673.414093
571.980000,507297.173745,762649.945946,622400.742278
571.990000,331887.637066,589752.639961,464686.708494
572.000000,438187.271236,273965.901544,525235.473938
572.010000,451738.184363,493086.472008,515668.308880
572.020000,438070.169884,555029.863900,563363.551158
572.030000,469412.661197,747346.042471,549103.583977
572.040000,521592.133205,872313.289575,699860.600386
572.050000,440816.910232,458121.512548,482696.374517
572.060000,423379.552124,560541.761583,505607.875483
572.070000,434171.600386,681721.248069,551652.341699
572.080000,441763.850386,685177.656371,596006.742278
572.090000,473806.954633,780639.046332,701682.500965
572.100000,382307.519305,532331.079151,378273.124517
572.110000,493893.903475,691965.390927,546238.207529
572.120000,533417.527992,779745.822394,698546.548263
572.130000,521453.698842,934667.533784,702473.817568
572.140000,468916.476834,947384.003861,674427.046332
572.150000,550394.461390,699749.944981,653128.413127
572.160000,397929.729730,543134.484556,478866.254826
572.170000,402117.292471,548696.415058,568238.988417
572.180000,466112.336873,742358.108108,692966.661197
572.190000,388241.626448,737083.943050,427268.913127
572.200000,465722.971042,449978.441120,619749.156371
572.210000,390768.130309,501965.455598,438678.237452
572.220000,443306.580116,613460.982625,516479.884170
572.230000,367878.269305,565004.658301,448443.692085
572.240000,415421.417954,640777.520270,500881.615830
572.250000,510516.770270,468137.438224,593802.842664
572.260000,270301.534749,407144.516409,313558.896718
572.270000,406128.819498,542608.986486,499408.256757
572.280000,364120.282819,479766.692085,429548.475869
572.290000,465733.253861,642926.015444,550317.263514
572.300000,393759.202703,443198.533784,385756.100386
572.310000,409798.404440,449659.366795,472247.342664
572.320000,491703.816602,625159.914093,573927.535714
572.330000,383088.553089,426608.971042,487499.371622
572.340000,445296.535714,668060.907336,545871.402510
572.350000,433321.349421,381743.959459,522985.838803
572.360000,334456.039575,441338.111004,370248.075290
572.370000,471006.805019,610323.648649,595442.108108
572.380000,408709.653475,549764.753861,572967.550193
572.390000,406230.112934,484758.002896,567195.666023
572.400000,422085.144788,422131.647683,465840.379344
572.410000,399500.545367,600320.921815,409575.405405
572.420000,392471.394788,568709.388996,533105.206564
572.430000,516548.333977,786359.823359,707879.971042
572.440000,370942.242278,652828.216216,463764.938224
572.450000,390000.602317,680627.278958,320060.707529
572.460000,552162.031853,863928.955598,556090.682432
572.470000,471300.709459,735260.507722,549704.131274
572.480000,413656.149614,809798.203668,625890.608108
572.490000,510178.818533,819113.055985,740119.216216
572.500000,420670.106178,586699.717181,411260.559846
572.510000,416261.539575,770322.309846,532525.992278
572.520000,523524.535714,535740.370656,717916.155405
572.530000,386142.703668,639349.589768,543720.605212
572.540000,601487.944981,862002.999035,820560.631274
572.550000,485558.067568,767848.294402,551425.045367
572.560000,350419.424710,649420.612934,407393.452703
572.570000,434640.926641,375082.381274,518888.979730
572.580000,414566.869691,546775.216216,481758.182432
572.590000,458334.842664,620160.162162,577212.359073
572.600000,511329.880309,731633.281853,640760.944981
572.610000,376190.316602,641552.415058,440728.201737
572.620000,497106.286680,450481.224903,569894.982625
572.630000,444485.420849,539148.280888,568270.911197
572.640000,485907.529923,668713.175676,566316.254826
572.650000,441893.843629,791815.702703,595673.548263
572.660000,341822.681467,548750.284749,390723.315637
572.670000,380789.652510,264334.890927,480812.930502
572.680000,513501.703668,596873.261583,494645.009653
572.690000,385468.795367,586871.148649,532738.555019
572.700000,538284.831081,800573.441120,630269.707529
572.710000,486489.660232,672248.777027,649988.316602
572.720000,352465.552124,368955.049228,345166.285714
572.730000,421728.008687,611155.636100,425036.006757
572.740000,425963.762548,484836.428571,641622.399614
572.750000,463371.275097,715710.721042,637649.855212
572.760000,434764.780888,727035.173745,644636.032819
572.770000,436060.109073,571235.432432,615276.437259
572.780000,419513.519305,634282.155405,531421.433398
572.790000,488983.166988,739485.518340,571764.920849
572.800000,375908.690154,701860.992278,552954.269305
572.810000,456968.455598,703691.333977,668374.610039
572.820000,464596.925676,820638.903475,565179.926641
572.830000,498004.421815,733722.689189,593568.793436
572.840000,421439.782819,582419.916023,627784.488417
572.850000,440235.700772,711487.398649,599020.375483
572.860000,434009.070463,767265.243243,557068.164093
572.870000,410659.245174,355181.597490,466621.413127
572.880000,425837.145753,550700.490347,534417.877413
572.890000,344836.007722,450102.141892,357968.241313
572.900000,446778.182432,606588.836873,547369.777992
572.910000,388305.011583,659280.301158,443701.777992
572.920000,383486.666988,348852.138996,447267.153475
572.930000,409726.117761,488651.814672,518276.000965
572.940000,446846.785714,495349.305985,506024.559846
572.950000,394292.374517,578559.561776,502477.601351
572.960000,391660.126448,662982.729730,477044.354247
572.970000,395476.126448,323002.821429,397041.723938
572.980000,385018.039575,561109.925676,397475.444015
572.990000,471458.021236,675847.303089,525328.786680
573.000000,396029.096525,460081.233591,497232.136100
573.010000,448297.583977,691411.960425,528102.692085
573.020000,412997.281853,446712.648649,492922.407336
573.030000,409170.078185,509709.645753,457393.120656
573.040000,471018.315637,616265.429537,633258.017375
573.050000,305658.162162,556446.590734,358399.659266
573.060000,444764.131274,718279.430502,538420.502896
573.070000,486681.196911,552302.307915,489797.504826
573.080000,344314.653475,490544.313707,383830.450772
573.090000,399171.341699,602169.833977,552847.450772
573.100000,429743.082046,887656.022201,624975.130309
573.110000,342324.851351,661106.038610,476907.761583
573.120000,358208.122587,635855.733591,369826.326255
573.130000,513248.777027,787459.777992,621784.847490
573.140000,500358.266409,877768.248069,548815.204633
573.150000,416347.485521,830539.569498,643617.573359
573.160000,504557.186293,874447.204633,731498.684363
573.170000,395394.324324,607639.219112,413121.596525
573.180000,508247.490347,784465.022201,597413.032819
573.190000,460426.859073,514825.424710,678658.349421
573.200000,520321.974903,779741.985521,660452.542471
573.210000,586403.510618,795045.888996,670070.661197
573.220000,386794.972008,640500.958494,426647.646718
573.230000,403032.156371,601085.687259,491779.786680
573.240000,476710.392857,500900.800193,532918.734556
573.250000,422100.338803,520020.089768,440149.601351
573.260000,449191.268340,708046.951737,580746.118726
573.270000,474238.065637,703171.821429,624484.624517
573.280000,331710.680502,476768.713320,383370.179537
573.290000,464721.700772,488158.392857,537550.146718
573.300000,433266.558880,510633.257722,531613.277027
573.310000,495997.430502,730530.871622,587311.621622
573.320000,515900.362934,631873.213320,650401.010618
573.330000,395783.536680,580623.645753,434749.126448
573.340000,478382.348456,384019.071429,528945.576255
573.350000,472717.743243,580661.707529,527848.998069
573.360000,391629.431467,680835.083977,441369.112934
573.370000,468302.884170,796433.609073,578923.143822
573.380000,400235.229730,628395.318533,497922.619691
573.390000,402024.440154,694475.779923,548754.428571
573.400000,550762.340734,608707.557915,676544.386100
573.410000,435533.536680,614300.950772,576787.233591
573.420000,502460.105212,759985.314672,648067.424710
573.430000,378856.482625,515255.154440,458327.475869
573.440000,520322.588803,833214.944015,663534.318533
573.450000,490106.910232,749295.941120,530614.155405
573.460000,550449.251931,883930.572394,708521.496139
573.470000,477220.543436,941060.530888,736282.497104
573.480000,442627.607143,581188.740347,619611.028958
573.490000,474403.665058,859492.303089,672417.138996
573.500000,419948.467181,688695.301158,464243.012548
573.510000,480239.241313,624789.886100,659845.549228
573.520000,486294.747104,809547.118726,716405.655405
573.530000,373210.601351,488398.427606,433110.014479
573.540000,363887.154440,548930.464286,433936.476834
573.550000,413752.685328,632104.500000,480962.875483
573.560000,406970.322394,379476.214286,515437.329151
573.570000,426087.463320,551853.086873,546614.988417
573.580000,429657.903475,455086.853282,499933.601351
573.590000,388223.055985,521923.792471,459344.861004
573.600000,410888.076255,652103.661197,492321.860039
573.610000,394134.602317,330332.475869,496882.213320
573.620000,487108.777992,542953.230695,512099.710425
573.630000,413365.007722,446662.922780,495317.383205
573.640000,441822.324324,514475.041506,452501.108108
573.650000,490952.556950,706543.665058,585625.853282
573.660000,337592.606178,365965.818533,278006.128378
573.670000,393906.078185,491069.811776,458758.433398
573.680000,398132.163127,522099.674710,378253.786680
573.690000,298582.201737,411773.472973,370167.500965
573.700000,478082.305019,622343.649614,577902.075290
573.710000,451652.238417,562539.544402,560699.380309
573.720000,339320.733591,476713.615830,332982.527027
573.730000,424452.648649,450565.482625,459753.871622
573.740000,517603.627413,674698.850386,582331.054054
573.750000,343092.072394,719614.815637,380570.490347
573.760000,442715.548263,711746.310811,655053.909266
573.770000,356809.198842,631542.935328,359464.775097
573.780000,336304.491313,623873.487452,430590.263514
573.790000,432613.676641,770026.717181,508685.814672
573.800000,482260.045367,734469.344595,589919.467181
573.810000,430678.204633,625541.606178,533488.126448
573.820000,446783.707529,778909.844595,656132.837838
573.830000,426000.750000,650500.155405,547423.340734
573.840000,426847.471042,807111.472008,517501.873552
573.850000,482032.288610,617353.106178,755853.463320
573.860000,429320.872587,646482.489382,542824.158301
573.870000,535745.742278,818212.618726,721536.321429
573.880000,360137.148649,567076.109073,391031.493243
573.890000,414984.014479,594935.487452,447423.851351
573.900000,456945.434363,464199.732625,579658.135135
573.910000,495914.093629,639109.555019,562229.678571
573.920000,493799.209459,699183.776062,565554.098456
573.930000,546209.047297,692679.970077,665227.607143
573.940000,331101.385135,432453.909266,440248.285714
573.950000,484501.699807,488372.643822,543644.174710
573.960000,381951.457529,498396.396718,507349.662162
573.970000,435634.830116,715697.982625,566813.973938
573.980000,526131.460425,703102.450772,631901.452703
573.990000,386275.919884,677735.504826,507599.826255
