time,Fx_local,Fy_local,Fz_local
39.790000,412191.385135,715168.033784,438459.382239
39.800000,516974.840734,655114.838803,669209.206564
39.810000,431238.848456,799132.004826,581998.780888
39.820000,433570.285714,838837.036680,729990.639961
39.830000,442767.115830,597509.875483,385247.331081
39.840000,395662.444981,784070.131274,443070.075290
39.850000,483040.004826,512210.212355,662235.613900
39.860000,463110.521236,644203.233591,606862.022201
39.870000,538288.054054,791609.278958,733381.054054
39.880000,457179.023166,744996.802124,521135.084942
39.890000,386632.902510,674665.546332,424933.332046
39.900000,465146.826255,452442.941120,572105.328185
39.910000,473836.421815,566928.005792,540444.529923
39.920000,433758.292471,590869.016409,511755.926641
39.930000,540756.851351,789367.164093,654642.443050
39.940000,380693.423745,660562.737452,517660.106178
39.950000,493711.728764,506816.490347,544106.134170
39.960000,342175.520270,332888.907336,423000.469112
39.970000,377582.027027,603116.160232,422673.414093
39.980000,507297.173745,762649.945946,622400.742278
39.990000,331887.637066,589752.639961,464686.708494
40.000000,438187.271236,273965.901544,525235.473938
40.010000,451738.184363,493086.472008,515668.308880
40.020000,438070.169884,555029.863900,563363.551158
40.030000,469412.661197,747346.042471,549103.583977
40.040000,521592.133205,872313.289575,699860.600386
40.050000,440816.910232,458121.512548,482696.374517
40.060000,423379.552124,560541.761583,505607.875483
40.070000,434171.600386,681721.248069,551652.341699
40.080000,441763.850386,685177.656371,596006.742278
40.090000,473806.954633,780639.046332,701682.500965
40.100000,382307.519305,532331.079151,378273.124517
40.110000,493893.903475,691965.390927,546238.207529
40.120000,533417.527992,779745.822394,698546.548263
40.130000,521453.698842,934667.533784,702473.817568
40.140000,468916.476834,947384.003861,674427.046332
40.150000,550394.461390,699749.944981,653128.413127
40.160000,397929.729730,543134.484556,478866.254826
40.170000,402117.292471,548696.415058,568238.988417
40.180000,466112.336873,742358.108108,692966.661197
40.190000,388241.626448,737083.943050,427268.913127
40.200000,465722.971042,449978.441120,619749.156371
40.210000,390768.130309,501965.455598,438678.237452
40.220000,443306.580116,613460.982625,516479.884170
40.230000,367878.269305,565004.658301,448443.692085
40.240000,415421.417954,640777.520270,500881.615830
40.250000,510516.770270,468137.438224,593802.842664
40.260000,270301.534749,407144.516409,313558.896718
40.270000,406128.819498,542608.986486,499408.256757
40.280000,364120.282819,479766.692085,429548.475869
40.290000,465733.253861,642926.015444,550317.263514
40.300000,393759.202703,443198.533784,385756.100386
40.310000,409798.404440,449659.366795,472247.342664
40.320000,491703.816602,625159.914093,573927.535714
40.330000,383088.553089,426608.971042,487499.371622
40.340000,445296.535714,668060.907336,545871.402510
40.350000,433321.349421,381743.959459,522985.838803
40.360000,334456.039575,441338.111004,370248.075290
40.370000,471006.805019,610323.648649,595442.108108
40.380000,408709.653475,549764.753861,572967.550193
40.390000,406230.112934,484758.002896,567195.666023
40.400000,422085.144788,422131.647683,465840.379344
40.410000,399500.545367,600320.921815,409575.405405
40.420000,392471.394788,568709.388996,533105.206564
40.430000,516548.333977,786359.823359,707879.971042
40.440000,370942.242278,652828.216216,463764.938224
40.450000,390000.602317,680627.278958,320060.707529
40.460000,552162.031853,863928.955598,556090.682432
40.470000,471300.709459,735260.507722,549704.131274
40.480000,413656.149614,809798.203668,625890.608108
40.490000,510178.818533,819113.055985,740119.216216
40.500000,420670.106178,586699.717181,411260.559846
40.510000,416261.539575,770322.309846,532525.992278
40.520000,523524.535714,535740.370656,717916.155405
40.530000,386142.703668,639349.589768,543720.605212
40.540000,601487.944981,862002.999035,820560.631274
40.550000,485558.067568,767848.294402,551425.045367
40.560000,350419.424710,649420.612934,407393.452703
40.570000,434640.926641,375082.381274,518888.979730
40.580000,414566.869691,546775.216216,481758.182432
40.590000,458334.842664,620160.162162,577212.359073
40.600000,511329.880309,731633.281853,640760.944981
40.610000,376190.316602,641552.415058,440728.201737
40.620000,497106.286680,450481.224903,569894.982625
40.630000,444485.420849,539148.280888,568270.911197
40.640000,485907.529923,668713.175676,566316.254826
40.650000,441893.843629,791815.702703,595673.548263
40.660000,341822.681467,548750.284749,390723.315637
40.670000,380789.652510,264334.890927,480812.930502
40.680000,513501.703668,596873.261583,494645.009653
40.690000,385468.795367,586871.148649,532738.555019
40.700000,538284.831081,800573.441120,630269.707529
40.710000,486489.660232,672248.777027,649988.316602
40.720000,352465.552124,368955.049228,345166.285714
40.730000,421728.008687,611155.636100,425036.006757
40.740000,425963.762548,484836.428571,641622.399614
40.750000,463371.275097,715710.721042,637649.855212
40.760000,434764.780888,727035.173745,644636.032819
40.770000,436060.109073,571235.432432,615276.437259
40.780000,419513.519305,634282.155405,531421.433398
40.790000,488983.166988,739485.518340,571764.920849
40.800000,375908.690154,701860.992278,552954.269305
40.810000,456968.455598,703691.333977,668374.610039
40.820000,464596.925676,820638.903475,565179.926641
40.830000,498004.421815,733722.689189,593568.793436
40.840000,421439.782819,582419.916023,627784.488417
40.850000,440235.700772,711487.398649,599020.375483
40.860000,434009.070463,767265.243243,557068.164093
40.870000,410659.245174,355181.597490,466621.413127
40.880000,425837.145753,550700.490347,534417.877413
40.890000,344836.007722,450102.141892,357968.241313
40.900000,446778.182432,606588.836873,547369.777992
40.910000,388305.011583,659280.301158,443701.777992
40.920000,383486.666988,348852.138996,447267.153475
40.930000,409726.117761,488651.814672,518276.000965
40.940000,446846.785714,495349.305985,506024.559846
40.950000,394292.374517,578559.561776,502477.601351
40.960000,391660.126448,662982.729730,477044.354247
40.970000,395476.126448,323002.821429,397041.723938
40.980000,385018.039575,561109.925676,397475.444015
40.990000,471458.021236,675847.303089,525328.786680
41.000000,396029.096525,460081.233591,497232.136100
41.010000,448297.583977,691411.960425,528102.692085
41.020000,412997.281853,446712.648649,492922.407336
41.030000,409170.078185,509709.645753,457393.120656
41.040000,471018.315637,616265.429537,633258.017375
41.050000,305658.162162,556446.590734,358399.659266
41.060000,444764.131274,718279.430502,538420.502896
41.070000,486681.196911,552302.307915,489797.504826
41.080000,344314.653475,490544.313707,383830.450772
41.090000,399171.341699,602169.833977,552847.450772
41.100000,429743.082046,887656.022201,624975.130309
41.110000,342324.851351,661106.038610,476907.761583
41.120000,358208.122587,635855.733591,369826.326255
41.130000,513248.777027,787459.777992,621784.847490
41.140000,500358.266409,877768.248069,548815.204633
41.150000,416347.485521,830539.569498,643617.573359
41.160000,504557.186293,874447.204633,731498.684363
41.170000,395394.324324,607639.219112,413121.596525
41.180000,508247.490347,784465.022201,597413.032819
41.190000,460426.859073,514825.424710,678658.349421
41.200000,520321.974903,779741.985521,660452.542471
41.210000,586403.510618,795045.888996,670070.661197
41.220000,386794.972008,640500.958494,426647.646718
41.230000,403032.156371,601085.687259,491779.786680
41.240000,476710.392857,500900.800193,532918.734556
41.250000,422100.338803,520020.089768,440149.601351
41.260000,449191.268340,708046.951737,580746.118726
41.270000,474238.065637,703171.821429,624484.624517
41.280000,331710.680502,476768.713320,383370.179537
41.290000,464721.700772,488158.392857,537550.146718
41.300000,433266.558880,510633.257722,531613.277027
41.310000,495997.430502,730530.871622,587311.621622
41.320000,515900.362934,631873.213320,650401.010618
41.330000,395783.536680,580623.645753,434749.126448
41.340000,478382.348456,384019.071429,528945.576255
41.350000,472717.743243,580661.707529,527848.998069
41.360000,391629.431467,680835.083977,441369.112934
41.370000,468302.884170,796433.609073,578923.143822
41.380000,400235.229730,628395.318533,497922.619691
41.390000,402024.440154,694475.779923,548754.428571
41.400000,550762.340734,608707.557915,676544.386100
41.410000,435533.536680,614300.950772,576787.233591
41.420000,502460.105212,759985.314672,648067.424710
41.430000,378856.482625,515255.154440,458327.475869
41.440000,520322.588803,833214.944015,663534.318533
41.450000,490106.910232,749295.941120,530614.155405
41.460000,550449.251931,883930.572394,708521.496139
41.470000,477220.543436,941060.530888,736282.497104
41.480000,442627.607143,581188.740347,619611.028958
41.490000,474403.665058,859492.303089,672417.138996
41.500000,419948.467181,688695.301158,464243.012548
41.510000,480239.241313,624789.886100,659845.549228
41.520000,486294.747104,809547.118726,716405.655405
41.530000,373210.601351,488398.427606,433110.014479
41.540000,363887.154440,548930.464286,433936.476834
41.550000,413752.685328,632104.500000,480962.875483
41.560000,406970.322394,379476.214286,515437.329151
41.570000,426087.463320,551853.086873,546614.988417
41.580000,429657.903475,455086.853282,499933.601351
41.590000,388223.055985,521923.792471,459344.861004
41.600000,410888.076255,652103.661197,492321.860039
41.610000,394134.602317,330332.475869,496882.213320
41.620000,487108.777992,542953.230695,512099.710425
