metric,varying_factor,fixed_level,levels,case_ids,values,relative_to_first_level_percent,monotonic_classification,ascending_value_order_case_ids
branch2_stroke_utilization_abs_peak,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[0.9997998238738717, 0.9997618944194286, 0.999678831378854]","[0.0, -0.0037937048534443228, -0.01210167196757659]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
branch2_stroke_utilization_abs_peak,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[0.9998772868130192, 0.9999430655915074, 0.9998409604969423]","[0.0, 0.006578685140232065, -0.003633077434207834]",nonmonotonic,"[""S_L45_M450"", ""S_L45_M200"", ""S_L45_M325""]"
branch2_stroke_utilization_abs_peak,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[0.999752346673727, 0.9997998238738717, 0.9998772868130192]","[0.0, 0.004748896094378005, 0.01249710887980355]",nondecreasing,"[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]"
branch2_stroke_utilization_abs_peak,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[0.9999485906460848, 0.9997618944194286, 0.9999430655915074]","[0.0, -0.018670582508196417, -0.0005525338631493583]",nonmonotonic,"[""RAC"", ""S_L45_M325"", ""S_L35_M325""]"
branch2_stroke_utilization_abs_peak,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[0.9998413755981552, 0.999678831378854, 0.9998409604969423]","[0.0, -0.016257000687127286, -4.151670685862111e-05]",nonmonotonic,"[""S_L40_M450"", ""S_L45_M450"", ""S_L35_M450""]"
branch1_pressure_min_Pa,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[11183145.892974453, 11184339.626632439, 11479406.295841722]","[0.0, 0.010674399398972884, 2.6491687196300227]",nondecreasing,"[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]"
branch1_pressure_min_Pa,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[11183911.690451996, 11182317.957048526, 11760186.199971858]","[0.0, -0.014250232365756071, 5.152709762648098]",nonmonotonic,"[""RAC"", ""S_L40_M200"", ""S_L40_M450""]"
branch1_pressure_min_Pa,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[11183555.299206292, 11592870.157941975, 12166284.970404224]","[0.0, 3.6599708034235943, 8.787274215630493]",nondecreasing,"[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]"
branch1_pressure_min_Pa,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[11183145.892974453, 11183911.690451996, 11183555.299206292]","[0.0, 0.006847782232944383, 0.0036609218529144788]",nonmonotonic,"[""S_L35_M200"", ""S_L45_M200"", ""S_L40_M200""]"
branch1_pressure_min_Pa,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[11184339.626632439, 11182317.957048526, 11592870.157941975]","[0.0, -0.01807589586334527, 3.652701410611068]",nonmonotonic,"[""RAC"", ""S_L35_M325"", ""S_L45_M325""]"
