case_group,case_id,metric,value,RAC_value,change_percent,percent_unavailable_reason
load_decomposition,R0,soil_energy_total_J,6.782912081359085e-12,9754911.229495715,-100.0,
load_decomposition,R0,soil_energy_source_interval_contribution_J,6.782912081359085e-12,7857376.310705911,-100.0,
load_decomposition,R0,soil_energy_proxy_interval_contribution_J,0.0,810745.807542214,-100.0,
load_decomposition,R0,soil_energy_transition_interval_contribution_J,0.0,1086789.111247614,-100.0,
load_decomposition,R0,source_frame_fraction,1.0,0.9715047492084653,2.9331046312178337,
load_decomposition,R0,proxy_frame_fraction,0.0,0.028495250791534744,-100.0,
load_decomposition,R0,roll_phi_rms_deg,0.12212105573197439,0.1607811867737967,-24.04518328143287,
load_decomposition,R0,roll_phi_abs_peak_deg,0.12212105659076315,0.629523989060107,-80.60104798022194,
load_decomposition,R0,roll_p_rms_deg_s,4.0518478997730984e-10,0.12070771044567308,-99.99999966432568,
load_decomposition,R0,roll_p_abs_peak_deg_s,1.2345599739583721e-09,0.8024914273104661,-99.9999998461591,
load_decomposition,R0,buffer_relative_pitch_rms_rad,0.01140740271633279,0.02274643210347487,-49.849705376035075,
load_decomposition,R0,buffer_relative_pitch_abs_peak_rad,0.011407402731952123,0.04491263224289723,-74.60090366055941,
load_decomposition,R0,branch1_stroke_utilization_p95,0.25075903700932844,0.9105575581547505,-72.46093508712475,
load_decomposition,R0,branch1_stroke_utilization_abs_peak,0.25075903717741177,0.9905607470215019,-74.6851429423774,
load_decomposition,R0,branch2_stroke_utilization_p95,0.2548910784544667,0.9293332287855461,-72.5726929201102,
load_decomposition,R0,branch2_stroke_utilization_abs_peak,0.2548910786255769,0.9997618944194286,-74.504821593186,
load_decomposition,R0,branch1_pressure_min_Pa,14353955.85764154,11182317.957048526,28.36297369449992,
load_decomposition,R0,branch1_pressure_max_Pa,14353955.859912097,17019695.346408445,-15.66267452054529,
load_decomposition,R0,branch2_pressure_min_Pa,12711104.32557416,11003680.62669265,15.516841653325091,
load_decomposition,R0,branch2_pressure_max_Pa,12711104.327470252,16860789.799664993,-24.611453683368918,
load_decomposition,R0,branch1_rope_tension_p95_N,717580.4107278076,836348.3638455358,-14.200775448598039,
load_decomposition,R0,branch1_rope_tension_abs_peak_N,717580.4107543644,850845.5854806274,-15.662674520545798,
