time,Fx,Fy,Fz,Mx,My,Mz
17.2,54667.259999999995,0.0,-102986.0970541,-0.17187499508353,-403789.5,-0.09123488000000002
17.4,3100.899999999994,0.0,-93686.598196,-0.1786919965591,-598020.0,-0.005916899999999975
17.6,-40219.899999999994,0.0,-78109.0991916,-0.148981998458,-743219.0,0.07670800000000003
17.8,-71629.1,0.0,-58470.4999535,-0.1254649999,-823461.0,0.15369190000000002
18.0,-89546.5,0.0,-37232.3004372,-0.1065240012508,-837276.0,0.25618810000000003
18.2,-94373.9,0.0,-16644.7006411,-0.0476200018341,-794518.0,0.2700017
18.4,-87975.9,0.0,1573.4994033999992,0.004501998293199996,-711011.0,0.2517032
18.6,-72992.2,0.0,16359.5996457,0.0468049989866,-603546.0,0.20883690000000002
18.8,-52179.95,0.0,27257.90003,0.0779870000861,-486283.0,0.14928780000000003
19.0,-27992.97,0.0,34261.400504799996,0.0980260014445,-369369.0,0.08008109999999999
19.2,-2381.3799999999974,0.0,37613.5010276,0.10761600294020002,-259051.0,0.0068161999999999945
19.4,23136.83,0.0,37650.40156443,0.10772000447579999,-158795.7,-0.06619966999999999
19.6,47306.11699999999,0.0,34723.002086052,0.099345005968351,-70771.20000000001,-0.13534597999999998
19.8,68953.176,0.0,29199.40256527,0.06265600550440001,2799.5,-0.14795873
20.0,86896.01999999999,0.0,21527.40297409,0.0307960042545,58890.29999999999,-0.12430676
20.2,100013.38,0.0,12301.2032857,0.0,93684.0,0.0
20.4,107414.42,0.0,2292.0034780000005,-0.0005465008292200001,103332.0,0.02560972
20.6,108677.39,0.0,-7584.6264613,0.0,85502.0,0.0
20.8,104036.01000000001,0.0,-16381.096530399998,0.0,40804.0,0.0
21.0,94434.33,0.0,-23263.59671189,0.0,-26396.0,0.0
21.2,81411.84,0.0,-27654.99697506,0.0,-108276.6,0.0
21.4,66852.31,0.0,-29333.39728038,0.0,-194981.8,0.0
21.6,52655.35999999999,0.0,-28442.99758711,0.0,-276686.1,0.0
21.8,40432.119999999995,0.0,-25439.29785937,0.006065299489626,-345500.9,0.009639662
22.0,31289.4,0.0,-20969.69807123,0.00499959954015,-396681.3,0.007459529000000001
22.2,25758.269999999997,0.0,-15746.098208849999,0.00375409957297,-428861.2,0.006141053999999998
22.4,23837.86,0.0,-10425.3982699,0.00745679876251,-443470.7,0.017050439999999993
22.6,25110.989999999998,0.0,-5534.198261000001,0.00395840875619,-443778.5,0.017961690000000002
22.8,28912.550000000003,0.0,-1434.0981948100007,0.0010256987087899996,-433992.2,0.020679869999999996
23.0,34460.020000000004,0.0,1681.5019128500007,0.0,-418401.7,0.0
23.2,40978.25,0.0,3764.0020457599994,0.0,-400910.7,0.0
23.4,47770.51500000001,0.0,4883.902188843,0.0,-384723.8,0.0
23.6,54270.903999999995,0.0,5194.902329556,0.0,-372227.0,0.0
23.8,60077.632000000005,0.0,4910.1024586,0.0,-364839.1,0.0
24.0,64981.86,0.0,4266.80257065,0.0,-362948.0,0.0
24.2,68971.31,0.0,3495.0026647700006,0.0,-365862.9,0.0
24.4,72217.77,0.0,2782.1027438699994,0.0,-371832.7,0.0
24.6,75044.41,0.0,2245.2028148499994,0.0005353006711199999,-378277.1,-0.017891524
24.8,77856.87,0.0,1906.5028863400003,0.00045450068816000016,-382094.6,-0.018562632
25.0,81068.66,0.0,1686.5029674999996,0.0004021007075100001,-380134.2,-0.019327854999999998
25.2,85010.20999999999,0.0,1412.1030660800006,0.00033660073101,-369650.0,-0.02026774
25.4,89861.01000000001,0.0,838.5031865299998,0.00019990075973000008,-348721.0,-0.0214244
25.6,95584.0,0.0,-319.29667122999945,-7.619920635999994e-05,-316594.1,-0.022789180000000003
25.8,101896.97,0.0,-2346.5965128,-0.0005594991685900002,-273894.0,-0.024294510000000002
26.0,108246.72,0.0,-5485.9963499000005,-0.00130794912973,-222760.0,-0.025808530000000003
26.2,113825.47,0.0,-9888.896199899998,-0.002357649094,-166967.0,-0.027137690000000003
26.4,117613.69,0.0,-15565.0960859,-0.011132997200360002,-111818.0,-0.08412291
26.6,118473.11,0.0,-22336.8960335,-0.01597729716297,-63886.0,-0.08473789
26.8,115289.34,0.0,-29806.8960691,-0.042638994376700004,-30474.0,-0.16492234
27.0,107167.17,0.0,-37348.09621436,-0.0534269945847,-18537.400000000023,-0.15330303
27.2,93651.84,0.0,-44149.49648279,-0.06315649496853,-33374.70000000001,-0.13396992000000002
27.4,74930.54999999999,0.0,-49297.19687363,-0.023506798509241,-77210.9,-0.035729436
27.6,51951.58,0.0,-51913.09736964,-0.037130698118580004,-147896.2,-0.03715869
27.8,26426.119999999995,0.0,-51309.197936309996,-0.036698998523979995,-238528.3,-0.018900069999999998
28.0,646.1999999999971,0.0,-47137.998525,-0.02247709929661,-338309.0,-0.0003070599999999979
28.2,-22822.1,0.0,-39487.8990793,0.0,-434476.0,0.0
28.4,-41546.5,0.0,-28899.599543700002,0.0,-514936.0,0.0
28.6,-53620.9,0.0,-16283.0998727,-0.0077643999394000004,-570825.0,0.025567710000000004
28.8,-57938.3,0.0,-2769.9000367999997,-0.0013208000175000002,-597912.0,0.02762724
29.0,-54286.7,0.0,10476.6999741,0.0049958999876,-596543.0,0.025885520000000002
29.2,-43245.61,0.0,22432.8001526,0.0106972000728,-570550.0,0.020619840000000004
29.4,-25945.43,0.0,32323.2004781,0.030825200456000002,-525160.0,0.024742700000000006
29.6,-3756.3899999999994,0.0,39649.0009235,0.0378124008808,-465350.0,0.00358112
29.8,21974.61,0.0,44147.301461,0.04210220139328,-394598.9,-0.020957304999999992
30.0,50061.399,0.0,45688.70206489,0.0435718019693,-314573.60000000003,-0.047742800999999994
30.2,79475.29000000001,0.0,44177.5027128,0.04213050258721,-225565.0,-0.07579357
30.4,109185.68,0.0,39489.6033818,0.0470753040314,-127625.0,-0.1301583
30.6,137950.71,0.0,31474.5040444,0.0375213048214,-21966.0,-0.16445011
30.8,164114.2,0.0,20045.1046641,0.0238953055601,87545.0,-0.19564140000000002
31.0,185545.2,0.0,5312.205193700001,0.007599007429600001,193210.0,-0.2654259
31.2,199744.9,0.0,-12242.6944228,-0.0145943933515,283352.0,-0.238116
31.4,204203.1,0.0,-31654.1942431,-0.0150937972549,343054.0,-0.09737255
31.6,196883.9,0.0,-51440.4943164,-0.01226429864494,356903.0,-0.04694065
31.8,176811.7,0.0,-69712.2946712,-0.01662029872951,312926.0,-0.04215518
32.0,144532.5,0.0,-84414.5953042,-0.020125598880420002,206807.0,-0.03445902
32.2,102332.23,0.0,-93669.99617445,0.044665698175809995,45328.20000000001,0.04879633
32.4,54093.5,0.0,-96144.59720514,0.06876779800096999,-153433.50000000003,0.03869008
32.6,4761.0,0.0,-91329.4982933,0.0653241987792,-363240.0,0.0034039000000000014
32.8,-40464.399999999994,0.0,-79667.5993256,0.0569830995176,-555895.0,-0.028941899999999993
33.0,-77013.2,0.0,-62476.0001983,0.0446859001418,-708166.0,-0.05508400000000001
33.2,-101671.7,0.0,-41683.5008331,0.029814200595900002,-806823.0,-0.0727217
33.4,-112982.8,0.0,-19458.4011881,0.013917400849800001,-850084.0,-0.08081079999999999
33.6,-111227.6,0.0,2170.598741500001,-0.0025871984998999988,-845838.0,-0.1325928
33.8,-98040.9,0.0,21605.4989296,-0.025756198723900003,-807271.0,-0.1168729
34.0,-75814.23000000001,0.0,37833.3993306,-0.0270602995212,-748431.0,-0.05422710000000001
34.2,-47067.35,0.0,50402.899894199996,-0.0480678998991,-680554.0,-0.044888689999999995
34.4,-13945.550000000003,0.0,59290.9005749,-0.04240790041126,-610410.0,-0.00997584
34.6,22033.513,0.0,64672.60133952,-0.03083860063872,-539866.6,0.010506946
34.8,59961.369,0.0,66709.80216656,-0.04771440154958,-466883.9,0.042888897999999995
35.0,99268.36,0.0,65386.9030419,-0.1091260050768,-387158.0,0.16567088000000002
35.2,139317.54,0.0,60466.9039505,-0.08649900565129999,-296228.0,0.19929409999999997
35.4,179008.08000000002,0.0,51568.5048677,-0.14753601392649998,-191584.0,0.5121442
35.6,216496.8,0.0,38344.2057532,-0.10970001645979999,-74588.0,0.6193985
35.8,249153.9,0.0,20715.6065501,-0.054330017178299994,48118.0,0.6534442
36.0,273788.6,0.0,-901.0928115999995,0.0019329845748999978,164292.0,0.5875001
36.2,287164.2,0.0,-25459.2924047,0.0546299837018,257312.0,0.6161718999999999
36.4,286536.7,0.0,-51275.2922925,0.1100249834618,309237.0,0.614852
36.6,270464.9,0.0,-76183.1925144,0.18163798215299998,305330.0,0.6448486
36.8,239154.0,0.0,-97840.0930751,0.2332649834899,239083.0,0.5701886
37.0,194719.2,0.0,-114107.5939395,0.21763898844049998,115426.0,0.3714098
37.2,140955.4,0.0,-123414.095035,0.23538799053,-48812.0,0.2688566
37.4,82776.73999999999,0.0,-125048.1962624,0.23850799287111,-228403.6,0.1578862
37.6,25408.5,0.0,-119245.8975117,0.22744099525400002,-395706.0,0.0484617
37.8,-26427.899999999994,0.0,-107099.3986794,0.2553499968512,-527297.0,-0.0630163
38.0,-69192.1,0.0,-90304.5996831,0.1076518996223,-608760.0,-0.0824825
38.2,-100862.8,0.0,-70815.5004712,0.0844190005617,-636502.0,-0.1202306
38.4,-120973.8,0.0,-50531.001024,0.0843330017089,-616477.0,-0.20188720000000004
38.6,-130332.1,0.0,-31023.801349499998,0.0517770022522,-560939.0,-0.21752400000000002
38.8,-130583.4,0.0,-13398.7014755,0.0223620024626,-484671.0,-0.21794370000000002
39.0,-123734.9,0.0,1736.2985605999993,-0.0028979975977,-401778.0,-0.20651129999999998
39.2,-111737.6,0.0,14199.0987206,-0.023696997864800003,-323619.0,-0.18649059999999998
39.4,-96235.5,0.0,24111.0989712,-0.0862299963205,-257906.1,-0.3441552
39.6,-78435.5,0.0,31755.2992867,-0.11356499744929999,-208784.0,-0.28050430000000004
39.8,-59134.02,0.0,37460.8996499,-0.11610999891490001,-177437.0,-0.1832914
40.0,-38821.82,0.0,41518.500049,-0.1286810001518,-162982.0,-0.1203324
40.2,-17812.589999999997,0.0,44143.100476,-0.1368190014753,-163342.0,-0.055209599999999984
40.4,3633.779999999999,0.0,45480.30092405,-0.140967002864,-175941.0,0.011269140000000018
40.6,25247.482000000004,0.0,45625.50138598,-0.13053800396518,-198179.5,0.07223677
