time_s,surge_m,sway_m,heave_m,yaw_deg,hull_pitch_deg,bridge_relative_pitch_deg,spud_relative_pitch_deg,spud_relative_yaw_deg,spud_upper_guide_relative_x_m,spud_soil_x_displacement_m,spud_soil_y_displacement_m,spud_soil_pitch_rotation_deg,spud_soil_yaw_rotation_deg,spud_lateral_m,equivalent_displacement_m,equivalent_velocity_m_s,equivalent_net_force_N,equivalent_total_restoring_force_N,equivalent_wire_rope_force_demand_N,equivalent_end_stop_diagnostics_available,equivalent_end_stop_enabled,equivalent_end_stop_travel_m,equivalent_end_stop_engagement_ramp_m,equivalent_end_stop_engagement_factor,equivalent_end_stop_engagement_gradient_per_m,equivalent_end_stop_active,equivalent_end_stop_penetration_m,equivalent_end_stop_force_N,equivalent_end_stop_closing_rate_m_s,equivalent_end_stop_elastic_energy_J,equivalent_end_stop_damping_dissipation_W,equivalent_end_stop_force_limit_N,equivalent_end_stop_capacity_status,equivalent_tension_1_N,equivalent_tension_2_N,equivalent_common_tension_N,equivalent_minimum_tension_control_required_N,equivalent_minimum_tension_control_active,equivalent_travel_demand_m,equivalent_travel_warning_m,equivalent_travel_limit_m,equivalent_travel_capacity_status,equivalent_force_demand_N,equivalent_force_warning_N,equivalent_force_limit_N,equivalent_force_capacity_status,soil_force_x_N,soil_force_y_N,soil_pitch_moment_Nm,soil_yaw_moment_Nm
41.2,0.38382181876791105,1.7685615158820078,-0.476715921099969,-2.3069639282311503,-1.3351685230646546,-1.9763669916676427,1.4175036216976789,0.11903108425479515,-0.0768728837896758,-0.004104023600000062,0.03322529899685467,0.08233797874694215,-2.1879691471438334,0.029902080770354764,0.015793088594374255,0.03209059869587463,-32364.60955517777,-32364.60955517777,32364.60955517777,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,133817.69522241113,166182.30477758887,150000.0,0.0,0.0,0.015793088594374255,0.25,0.3,within,32364.60955517777,500000.0,550000.0,within,36426.687902304606,2204802.6688215053,-19504.19686108816,7657017.8889858145
41.300000000000004,0.3790260106825569,1.76945483108759,-0.4776784414159778,-2.3080835749583786,-1.325040126771182,-1.978472238408127,1.407120508198579,0.11950633099978684,-0.0729342819732406,-0.003971172178204085,0.03313571587290909,0.08208326257951558,-2.1886131590551576,0.02996879325278477,0.01900681234213919,0.03218387625942373,-36616.0526585824,-36616.0526585824,36616.0526585824,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,131691.9736707088,168308.0263292912,150000.0,0.0,0.0,0.01900681234213919,0.25,0.3,within,36616.0526585824,500000.0,550000.0,within,31286.69656665763,2209608.9724031654,-30755.29325207125,7668625.681301383
41.400000000000006,0.37445208040431327,1.7703149463197845,-0.47821118453988987,-2.3091536675883617,-1.3135945214293783,-1.970096384406578,1.3960424862996512,0.12000639607769868,-0.0689410676568861,-0.0038663726347394345,0.0330559540062616,0.08245084510691178,-2.1891827682452094,0.03002997747197474,0.022226634831516406,0.032212573528120514,-40869.08807143,-40869.08807143,40869.08807143,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,129565.455964285,170434.544035715,150000.0,0.0,0.0,0.022226634831516406,0.25,0.3,within,40869.08807143,500000.0,550000.0,within,26297.926109212654,2213882.106968217,-42432.99495048559,7678942.15762114
41.5,0.37009329983999295,1.7711509247176267,-0.4782879981176081,-2.3101862897184136,-1.3008772450098294,-1.952236232887477,1.3842896615901652,0.12051463219202824,-0.06489385129400665,-0.0037852342100777037,0.032985212220440374,0.0834152931628461,-2.1897067019187486,0.030085183822285057,0.02545334924403475,0.032321714722246334,-45139.265215366795,-45139.265215366795,45139.265215366795,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,127430.3673923166,172569.6326076834,150000.0,0.0,0.0,0.02545334924403475,0.25,0.3,within,45139.265215366795,500000.0,550000.0,within,21318.45519039198,2217702.7940589907,-54825.2839410624,7688184.341654392
41.6,0.36590785227114264,1.7720044000654624,-0.4778883495136909,-2.31123607230726,-1.2869307768391542,-1.927821130567334,1.3718536748008512,0.12103071104934746,-0.06077453664199938,-0.0037255558433315628,0.03292178884340169,0.08492576815003001,-2.1902399192612667,0.03013466932057668,0.028704468235209828,0.032700665101254814,-49468.63732161874,-49468.63732161874,49468.63732161874,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,125265.68133919063,174734.31866080937,150000.0,0.0,0.0,0.028704468235209828,0.25,0.3,within,49468.63732161874,500000.0,550000.0,within,16339.721930316533,2221232.5324860793,-67888.77657279483,7696783.331364183
41.7,0.3618564743593565,1.7728734317406665,-0.47699244686437514,-2.312300676178376,-1.2717912747277984,-1.899428622769846,1.3586999988570883,0.12157248094520824,-0.056590447362374716,-0.0036893440227316887,0.032865679171606654,0.08691158602424931,-2.190762236617953,0.030180295958605625,0.03197025769899835,0.032615124174515585,-53770.92532114567,-53770.92532114567,53770.92532114567,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,123114.53733942716,176885.46266057284,150000.0,0.0,0.0,0.03197025769899835,0.25,0.3,within,53770.92532114567,500000.0,550000.0,within,11561.81542447512,2224438.3562318115,-81086.16915989504,7704640.081100451
41.800000000000004,0.3579218211502707,1.7737430412721682,-0.4755767230341379,-2.3133606803444673,-1.2554845587112335,-1.8687473483996617,1.3447570394777644,0.1221213049606815,-0.0523855019024045,-0.0036728131694587773,0.032816628236822964,0.08927533155482413,-2.191272861646543,0.030222318348988714,0.035201800964404464,0.03201574113360688,-57976.624127390874,-57976.624127390874,57976.624127390874,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,121011.68793630456,178988.31206369543,150000.0,0.0,0.0,0.035201800964404464,0.25,0.3,within,57976.624127390874,500000.0,550000.0,within,6986.405437974143,2227329.6313067265,-94293.66094369406,7711774.687991684
41.900000000000006,0.35407223543780136,1.774577811989446,-0.47362316794149945,-2.3143700355580554,-1.238051750906443,-1.8386607101761197,1.3299615422361872,0.12269115433788319,-0.0481921892368448,-0.003669655934338323,0.03277218959424877,0.09191262885430089,-2.1917117753641953,0.030260039450096723,0.03836219306462312,0.031192100870766168,-62065.97767339543,-62065.97767339543,62065.97767339543,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,118967.01116330229,181032.9888366977,150000.0,0.0,0.0,0.03836219306462312,0.25,0.3,within,62065.97767339543,500000.0,550000.0,within,2521.0875919586397,2229910.1025940506,-107590.54044366063,7718121.617249679
42.0,0.3502590878134933,1.775282493791979,-0.4711248098628313,-2.3152046949660168,-1.219570240235311,-1.8130203788465058,1.3143023946556343,0.1232728621769723,-0.04402377492678338,-0.0036791758313867717,0.032729604498610954,0.09473497617904876,-2.1919640956343067,0.03029263243034241,0.04143739264133912,0.0303118906635537,-66037.2200939393,-66037.2200939393,66037.2200939393,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,116981.38995303036,183018.61004696964,150000.0,0.0,0.0,0.04143739264133912,0.25,0.3,within,66037.2200939393,500000.0,550000.0,within,-1717.8660354776657,2232106.4385616626,-120606.13569534989,7723374.304851398
42.1,0.34643220336867736,1.7758054835617572,-0.4680843390416645,-2.3157978479026324,-1.200159249656177,-1.7962769288257547,1.297815930621124,0.12387110694848481,-0.03987871244256056,-0.003699416803698341,0.03268605222447496,0.09765948485469858,-2.1919583373424976,0.03031982227248525,0.04443148280790662,0.02956991266779615,-69915.22131423264,-69915.22131423264,69915.22131423264,1.0,1.0,0.3,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,within,115042.38934288369,184957.6106571163,150000.0,0.0,0.0,0.04443148280790662,0.25,0.3,within,69915.22131423264,500000.0,550000.0,within,-5676.106383680133,2233919.2045331234,-133116.01845109434,7727445.932403395
