time,Fx,Fy,Fz,Mx,My,Mz
9.2,49423.979999999996,-0.010416935,-42789.6,-0.10411597,196375.6,-0.0016519999999999972
9.4,46940.8,-0.009259980000000001,-45093.5,-0.12242779000000001,177425.7,0.022953599999999994
9.6,42829.9,-0.007770618,-45939.0,-0.12613182,129108.0,0.0505127
9.8,37315.4,-0.0072926020000000005,-45055.399999999994,-0.13375589,52416.0,0.0872473
10.0,30818.1,-0.007471050000000001,-42344.7,-0.13891082999999999,-47910.0,0.1375183
10.2,23901.1,-0.00675285,-37922.100000000006,-0.10904104,-163981.0,0.1660994
10.4,17193.700000000004,-0.00677968,-32101.899999999998,-0.07447553,-285823.0,0.19558583
10.6,11306.199999999997,-0.0057961010000000006,-25323.9,-0.02430255,-402586.9,0.17340840000000002
10.8,6795.0999999999985,-0.00626567,-18144.333,0.016149,-503259.6,0.17416689999999999
11.0,4105.309999999998,-0.007269457,-11185.4,0.058675580000000005,-577617.0,0.170764
11.2,3542.6500000000015,-0.010289237,-5077.300000000003,0.12170639,-617069.0,0.187172
11.4,5247.200000000002,-0.012450184000000001,-406.8000000000011,0.17368261000000002,-615247.0,0.158734
11.6,9200.82,-0.012412127999999998,2327.5,0.18301709900000002,-568391.0,0.094398
11.8,15231.69,-0.0109478,2740.8999999999996,0.15889823199999997,-475624.0,0.03189499999999999
12.0,23014.34,-0.01454541,584.5,0.195964996,-339111.0,-0.01922
12.2,32060.460000000003,-0.016580550000000003,-4227.890000000003,0.19456694,-164591.0,-0.08548000000000001
12.4,41712.89,-0.018694528000000002,-11595.0,0.174222,38606.0,-0.16245300000000001
12.6,51114.21,-0.019278939000000002,-21149.899999999998,0.11821090000000001,256351.0,-0.23132999999999998
12.8,59280.1,-0.019151104999999998,-32256.6,0.0369813,470972.0,-0.29071800000000003
13.0,65179.324,-0.017432984999999998,-44003.799999999996,-0.0659955,662209.0,-0.31947802
13.2,67891.27,-0.014637171,-55285.7,-0.1766724,809661.1,-0.315185
13.4,66760.4,-0.0090271631,-64922.9,-0.22899646,895636.0,-0.22464699999999999
13.6,61519.8,-0.006562081,-71830.9,-0.332728608,907809.0,-0.186302
13.8,52364.4,-0.0031899840000000003,-75157.5,-0.38052063999999997,841090.0,-0.10025400000000001
14.0,39949.8,-0.00040417000000000225,-74389.2,-0.4048904,698581.0,-0.004584399999999997
14.2,25311.100000000006,0.0015037899999999986,-69400.0,-0.36191953,490920.0,0.086094
14.4,9738.07,0.00267622,-60446.18,-0.34225787,234704.0,0.178388
14.6,-5367.800000000003,0.00239214,-48169.7,-0.23383156,-49089.0,0.20949099999999998
14.8,-18641.1,0.0013741200000000002,-33534.0,-0.12463957,-337301.0,0.186749
15.0,-28916.9,0.0006496999999999998,-17742.4,-0.0826226,-607302.0,0.23477199999999998
15.2,-35369.3,-0.0006774900000000002,-2102.9,-0.0246522,-839378.0,0.2626922
15.4,-37591.3,-0.0018437999999999998,12130.2,0.0293353,-1018568.0,0.2031844
15.6,-35625.5,-0.002741593,23921.8,0.061504819999999995,-1135770.6,0.15769070000000002
15.8,-29876.49,-0.004707641,32594.8,0.11039461,-1187768.0,0.163674
16.0,-20965.43,-0.003838185,37833.3,0.08795506,-1175750.0,0.0835553
16.2,-9529.019999999999,-0.005266532,39591.8,0.11464431,-1102877.0,0.068951
16.4,3936.000000000001,-0.00706679,37933.2,0.14333187,-971968.0,0.047023999999999996
16.6,19083.9,-0.00726752,32885.7,0.1346079,-784809.0,0.010809000000000001
16.8,35597.6,-0.0070930739999999996,24383.6,0.11678236,-543430.0,-0.020682
17.0,52981.9,-0.006159576999999999,12363.8,0.08649088999999999,-253133.9,-0.042192
17.2,70375.7,-0.007453103,-3043.029999999999,0.0830268,74240.0,-0.078324
17.4,86495.7,-0.0031035184,-21280.47,0.023507300000000002,418230.0,-0.0436036
17.6,99765.3,-0.0010070435999999998,-41255.47,0.00303894,750620.0,-0.0177618
17.8,108620.2,-0.00061772735,-61406.740000000005,-0.0019541100000000002,1039770.0,-0.01328471
18.0,111835.14,-0.00039342923,-79935.58,-0.004858980000000001,1256407.0,-0.010252597000000002
18.2,108764.97,0.000536649387,-95096.6,0.01510015,1378085.0,0.01729364
18.4,99436.8,-0.0004265515,-105459.9,-0.0270725,1392287.0,-0.0183696
18.6,84537.7,-7.132899999999998e-05,-110080.9,-0.016152894,1297565.0,-0.0059410999999999995
18.8,65312.200000000004,7.079090000000005e-05,-108569.6,-0.0228534134,1103120.0,-0.0026581
19.0,43416.7,0.0006343990000000001,-101073.1,-0.07418736000000001,827120.0,0.008891900000000001
19.2,20719.800000000003,9.103020000000001e-05,-88210.8,-0.007140302,493710.0,0.0026641499999999997
19.4,-855.2000000000044,-0.0001334195,-71055.6,0.008304443799999998,130989.0,-0.00568079
19.6,-19518.4,-0.0009675320000000002,-51071.1,0.052114709999999995,-231264.0,-0.0590161
19.8,-33816.3,-0.00026569900000000005,-29983.8,0.013433509,-564952.0,-0.026174700000000002
20.0,-42818.5,-9.815900000000005e-05,-9574.6,0.005948489999999999,-846908.0,-0.0256741
20.2,-46232.8,3.391469999999998e-05,8560.3,-0.00012507799999999998,-1061550.0,-0.01065851
20.4,-44375.1,-0.000821611,23239.3,0.01761417,-1201824.0,0.07162194999999999
20.6,-38018.9,-0.0004592658,33804.6,0.01037668,-1268313.7,0.02094431
20.8,-28136.94,-0.0007244752999999999,40089.0,0.01587432,-1266551.0,0.0200316
21.0,-15676.6,-0.002299095,42255.6,0.04768497,-1203774.0,0.0397857
21.2,-1410.3600000000001,-0.003909072,40596.3,0.07569601000000001,-1086502.0,0.0403016
21.4,14049.099999999999,-0.003690569,35393.3,0.06582502500000001,-920096.0,0.0186284
21.6,30125.0,-0.0024546570000000003,26892.9,0.03960551,-710050.0,0.0018951999999999997
21.8,46134.8,-0.0010595838,15389.5,0.015057661,-464320.0,-0.0030768000000000006
22.0,61208.1,0.002268046,1359.5,-0.02720436,-195091.0,0.014071400000000001
22.2,74325.9,0.00287596,-14452.599999999999,-0.0270038,81020.0,0.0266816
22.4,84463.7,0.0064874799999999995,-31028.199999999997,-0.0405289,344670.0,0.07943700000000001
22.6,90774.3,0.0030420020000000002,-47176.4,-0.00706475,576640.0,0.0463317
22.8,92747.7,0.0026860498999999997,-61704.2,0.0075932000000000005,760890.0,0.0494139
23.0,90289.0,0.0013736319,-73573.8,0.013829919999999999,886638.0,0.030217900000000002
23.2,83714.44,0.00045168910999999996,-82021.1,0.00963427,949301.0,0.01198025
23.4,73687.29000000001,-0.00038452517,-86620.1,-0.01610135,950217.06,-0.01276531
23.6,61130.0,-0.00022021030000000003,-87297.6,-0.020401837,895864.0,-0.0102717
23.8,47109.9,-1.5707299999999944e-05,-84313.0,-0.006812721,796574.0,-0.00193084
24.0,32730.699999999997,-0.00014773,-78212.7,0.041370409999999996,665165.0,0.003939300000000001
24.2,19010.9,-9.103539999999996e-05,-69749.6,0.011839576000000001,515228.0,-0.0009608999999999998
